City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Hilo,US,19.7297,-155.09,72.25,91,100,5.75,heavy intensity rain
161,Kattivakkam,IN,13.2167,80.3167,80.08,76,100,9.6,overcast clouds
162,Virtsu,EE,58.5716,23.5115,33.78,96,99,8.5,overcast clouds
163,Karratha,AU,-20.7377,116.8463,83.79,80,1,5.55,clear sky
164,High River,CA,50.5834,-113.8687,51.89,77,74,8.5,broken clouds
165,Namatanai,PG,-3.6667,152.4333,79.36,79,19,3.33,few clouds
166,Khatanga,RU,71.9667,102.5,-18.33,98,99,8.61,overcast clouds
167,Butaritari,KI,3.0707,172.7902,81.39,77,34,15.23,light rain
168,Shirokiy,RU,49.758,129.523,-22.0,100,100,1.83,overcast clouds
169,Bahia Honda,CU,22.9036,-83.1592,80.26,50,1,8.79,clear sky
170,Arys,KZ,42.4252,68.795,35.82,88,100,11.23,light rain
171,Banjar,ID,-8.19,114.9675,78.66,92,99,2.64,overcast clouds
172,Tuktoyaktuk,CA,69.4541,-133.0374,-17.39,100,100,10.63,overcast clouds
173,Barrow,US,71.2906,-156.7887,-23.78,69,20,13.8,haze
174,Margate,GB,51.3813,1.3862,47.97,65,60,11.99,broken clouds
175,Brufut,GM,13.3814,-16.7518,84.29,48,0,8.05,clear sky
176,Bardiyah,LY,31.7561,25.0865,58.98,58,3,6.71,clear sky
177,Salinas,US,36.6777,-121.6555,67.21,46,0,0.0,clear sky
178,Trairi,BR,-3.2778,-39.2689,83.91,65,76,10.92,broken clouds
179,Tuatapere,NZ,-46.1333,167.6833,44.82,84,5,3.0,clear sky
180,Icatu,BR,-2.7758,-44.0658,79.23,89,98,7.4,light rain
181,Deoria,IN,26.5047,83.7872,52.34,82,0,3.33,clear sky
182,San Patricio,US,28.017,-97.5169,64.38,60,6,5.26,clear sky
183,Uarini,BR,-2.99,-65.1083,89.55,86,90,3.22,overcast clouds
184,Porto Novo,BJ,6.4965,2.6036,79.32,78,5,6.87,clear sky
185,Amapa,BR,1.0,-52.0,73.02,99,100,4.07,overcast clouds
186,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,98,11.07,overcast clouds
187,Grootfontein,NA,-19.5667,18.1167,67.57,94,100,2.3,overcast clouds
188,Mehamn,NO,71.0357,27.8492,18.64,89,30,14.83,scattered clouds
189,Tiksi,RU,71.6872,128.8694,-14.96,98,100,3.71,overcast clouds
190,Andrews,US,32.3187,-102.5457,54.41,25,0,20.71,clear sky
191,Tabou,CI,4.423,-7.3528,80.31,80,100,9.69,overcast clouds
192,Mahebourg,MU,-20.4081,57.7,79.25,89,40,9.22,scattered clouds
193,Narsaq,GL,60.9167,-46.05,7.02,72,100,1.16,overcast clouds
194,Nuevo Progreso,MX,23.1667,-97.95,68.59,35,28,8.01,scattered clouds
195,Llanes,ES,43.4198,-4.7549,51.89,70,71,8.63,broken clouds
196,Kaitangata,NZ,-46.2817,169.8464,47.93,75,10,1.45,clear sky
197,Saquarema,BR,-22.92,-42.5103,87.94,86,52,8.25,broken clouds
198,Huilong,CN,31.8111,121.655,42.04,69,100,10.4,light rain
199,Villa Maria,AR,-32.4075,-63.2402,81.1,17,0,11.99,clear sky
200,Kropotkin,RU,45.4375,40.5756,34.23,76,100,13.87,overcast clouds
201,Emerald,AU,-23.5333,148.1667,69.35,66,1,7.45,clear sky
202,Broken Hill,AU,-31.95,141.4333,70.09,40,3,13.4,clear sky
203,Albanel,CA,48.8832,-72.4487,3.34,78,100,10.36,overcast clouds
204,Den Helder,NL,52.9599,4.7593,42.98,75,75,24.0,broken clouds
205,Carman,CA,49.4992,-98.0016,3.52,65,76,9.22,broken clouds
206,Sorata,BO,-15.7667,-68.6333,45.63,94,100,6.44,heavy intensity rain
207,Yabelo,ET,4.8833,38.0833,68.47,23,48,5.61,scattered clouds
208,Colares,PT,38.7992,-9.4469,59.29,49,0,5.01,clear sky
209,Bengkulu,ID,-3.8004,102.2655,76.1,88,100,9.84,overcast clouds
210,Takoradi,GH,4.8845,-1.7554,80.64,78,80,8.63,broken clouds
