City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
561,Taltal,CL,71.62,few clouds,-25.4,-70.4833,Residencial Karime
567,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
568,Pemangkat,ID,77.2,overcast clouds,1.1667,108.9667,Ramah Kost KITA
570,Opuwo,NAM,74.61,overcast clouds,-18.0607,13.84,ABBA Guesthouse
572,Mozarlandia,BR,82.9,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
573,Manta,EC,78.66,light rain,-0.95,-80.7333,Balandra Hotel
575,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
581,Immokalee,US,79.95,broken clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
583,Sao Mateus Do Sul,BR,87.19,overcast clouds,-25.8742,-50.3828,Hotel Dom Leopoldo
589,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
593,Garowe,SO,71.64,overcast clouds,8.4054,48.4845,Curubo Hotel
594,Vice,PE,85.84,scattered clouds,-5.4167,-80.7833,Hospedaje San Jacinto
596,Constitucion,CL,71.74,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
598,Manggar,ID,78.93,moderate rain,-2.8833,108.2667,Guest Hotel
603,Acarau,BR,84.52,overcast clouds,-2.8856,-40.12,castelo pizzaria
604,Daru,PG,77.92,overcast clouds,-9.0763,143.2092,Daru Lodge
606,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
608,Istmina,CO,84.0,scattered clouds,5.1605,-76.684,Hotel La Gran Estación Istmina
611,Ahmadnagar,IN,70.93,clear sky,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
612,Guaimaro,CU,84.7,clear sky,21.05,-77.35,La Constitución de Guáimaro
613,Guanica,PR,81.43,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
616,Banda Aceh,ID,76.35,overcast clouds,5.5577,95.3222,Sulthan Hotel International
622,Sibolga,ID,75.07,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
623,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
626,Alta Floresta,BR,87.62,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
633,Kupang,ID,78.84,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
637,Barra Do Garcas,BR,84.78,thunderstorm,-15.89,-52.2567,Pousada Tropical
639,Xai-Xai,MZ,76.1,light rain,-25.0519,33.6442,Complexo da Familia
640,Tuy Hoa,VN,71.19,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
642,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
644,Sabya,SA,78.42,few clouds,17.1495,42.6254,Aseel Hotel Apartment
651,Humaita,BR,85.64,light rain,-7.5061,-63.0208,Corrêa Hotel
656,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,Will T Place
657,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
662,Miraflores,MX,70.56,scattered clouds,19.2167,-98.8083,Hotel Mansión
663,Berbera,SO,76.93,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
664,Fare,PF,81.36,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
665,Sulangan,PH,79.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
671,Mbaiki,CF,76.33,overcast clouds,3.8678,17.9892,Motel MBM
672,Cartago,CO,78.55,scattered clouds,4.7464,-75.9117,Habitación petite en hermoso lugar natural
673,Bougouni,ML,80.96,clear sky,11.417,-7.479,Non Stop
677,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
679,Sur,OM,70.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
683,Rio Gallegos,AR,78.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
689,Monte Carmelo,BR,70.32,overcast clouds,-18.7247,-47.4986,Park hotel
695,Keffi,NG,82.31,scattered clouds,8.8486,7.8736,Imam Family
697,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
